tau=0.01,tau=0.05,tau=0.1,tau=0.5,tau=1,tau=5,naive
0.8968475133335994,0.3534381352519783,0.1487760113317512,0.055154494617387,0.7878848476790284,0.07416460236230733,3.8338128927062343e-07
0.8234521379575596,0.5929853238966742,0.249757109715409,0.9264823584433195,0.7975542978486245,0.9749811922733365,1.4435478618235464e-05
0.6284151330830168,0.8588971054915052,0.7050137746305414,0.24300472923878477,0.6765143869751868,0.34982916825789667,0.0003406916455139797
0.006645607283793227,0.7887489596252921,0.49403218759064155,0.036125177172180126,0.8337951585157971,0.9743720610840774,1.924996516800004e-05
0.8311982720850423,0.41876947926082186,0.34051150015949605,0.25137077064915136,0.305351552887563,0.35618374417097426,1.1255674870369603e-05
0.36605558277042854,0.07031582514090479,0.21299108644659806,0.26059709902055495,0.7511870631846322,0.25074708120703465,0.0035593152925924576
0.2117652541625313,0.2149835244496389,0.890731452951067,0.3299654007490544,0.5279015627108712,0.46146566644494535,0.003409396376811147
0.1037417440648069,0.7442193205993025,0.6511774912919197,0.060589254129067786,0.07163016574837051,0.9496174132741682,1.0157085233442054e-05
0.42384769316270476,0.5764922788895581,0.19328275890787072,0.8337930359781757,0.5682035594151663,0.7279329053819341,1.2973641497215915e-05
0.7940702195262946,0.14196004762104025,0.030677041262745886,0.8471951853306653,0.22188891049547324,0.15720981784390056,0.0008052915557494877
0.683026456673633,0.6607504797517704,0.05086702997580184,0.4948702321076312,0.12516580830877055,0.8339993988103519,0.0017227226149851838
0.815388273462623,0.7477210251749499,0.7849042850132586,0.6914069194469563,0.7079342420534686,0.8749319725572448,4.758703413898502e-05
0.3494295867732695,0.183539150199839,0.392578374837189,0.8785744578719398,0.05299093670394634,0.7693798192471218,8.155918352903413e-07
0.8913865133858916,0.9938870436078765,0.5604717058895557,0.5853681475209349,0.5321733843439336,0.927435188746017,0.002039519665902434
0.7137141966794674,0.658490279821386,0.626026870332115,0.5367797525607179,0.3318536837943812,0.24767459436551154,0.00033553377739581336
