tau,delta,effect_size,reject,min_size>=10,method,linkage
NA,1.0,0.7583333333333333,0,0,Barber,average
NA,1.0,0.7611111111111111,0,0,Barber,average
NA,1.0,0.809090909090909,0,0,Barber,average
NA,1.0,0.625,0,0,Barber,average
NA,1.0,0.7115384615384615,1,1,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6923076923076923,0,1,Barber,average
NA,1.0,0.8269230769230769,0,1,Barber,average
NA,1.0,0.7037037037037037,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.8571428571428571,0,0,Barber,average
NA,1.0,0.6666666666666666,0,1,Barber,average
NA,1.0,0.7476190476190475,0,1,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.7333333333333333,0,1,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.717948717948718,0,0,Barber,average
NA,1.0,0.7904761904761904,0,1,Barber,average
NA,1.0,0.7259615384615384,0,1,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.6978021978021978,0,1,Barber,average
NA,1.0,0.7307692307692307,0,1,Barber,average
NA,1.0,0.6904761904761905,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.49999999999999994,0,0,Barber,average
NA,1.0,0.6190476190476191,0,0,Barber,average
NA,1.0,0.7142857142857142,0,0,Barber,average
NA,1.0,0.5555555555555556,0,0,Barber,average
NA,1.0,0.7210526315789473,0,1,Barber,average
NA,1.0,0.6904761904761905,0,0,Barber,average
NA,1.0,0.6714285714285714,0,0,Barber,average
NA,1.0,0.7401960784313725,0,1,Barber,average
NA,1.0,0.8624999999999999,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.8095238095238095,1,0,Barber,average
NA,1.0,0.7272727272727272,0,0,Barber,average
NA,1.0,0.6923076923076923,0,0,Barber,average
NA,1.0,0.6527777777777778,0,0,Barber,average
NA,1.0,0.6826923076923076,0,1,Barber,average
NA,1.0,0.7083333333333333,0,0,Barber,average
NA,1.0,0.6818181818181818,1,0,Barber,average
NA,1.0,0.7,0,1,Barber,average
NA,1.0,0.7083333333333333,0,0,Barber,average
NA,1.0,0.6944444444444444,0,0,Barber,average
NA,1.0,0.8086419753086419,0,0,Barber,average
NA,1.0,0.6882352941176471,0,1,Barber,average
NA,1.0,0.7083333333333333,0,1,Barber,average
NA,1.0,0.6705882352941176,0,1,Barber,average
NA,1.0,0.6948051948051948,0,0,Barber,average
NA,1.0,0.6666666666666666,0,0,Barber,average
NA,1.0,0.5499999999999999,0,0,Barber,average
NA,1.0,0.7032967032967032,0,1,Barber,average
NA,1.0,0.719298245614035,0,0,Barber,average
NA,1.0,0.5909090909090908,0,0,Barber,average
NA,1.0,0.7727272727272727,0,0,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
NA,1.0,0.712121212121212,1,0,Barber,average
NA,1.0,0.6794871794871794,0,0,Barber,average
NA,1.0,0.75,0,0,Barber,average
NA,1.0,0.725,0,0,Barber,average
NA,1.0,0.7051282051282051,0,1,Barber,average
NA,1.0,0.6956521739130435,0,0,Barber,average
NA,1.0,0.7,0,0,Barber,average
NA,1.0,0.5555555555555555,0,0,Barber,average
NA,1.0,0.7417582417582417,0,1,Barber,average
NA,1.0,0.6785714285714285,0,0,Barber,average
