,Tau,Method,ARI
615,5.0,Randomized,0.0
616,0.0,Naive,1.0
617,0.025,Randomized,1.0
618,0.05,Randomized,1.0
619,0.1,Randomized,1.0
620,0.25,Randomized,1.0
621,0.5,Randomized,0.0
622,1.0,Randomized,0.0
623,5.0,Randomized,0.21227197346600332
624,0.0,Naive,1.0
625,0.025,Randomized,1.0
626,0.05,Randomized,1.0
627,0.1,Randomized,1.0
628,0.25,Randomized,1.0
629,0.5,Randomized,0.3303964757709251
630,1.0,Randomized,0.06489994591671173
631,5.0,Randomized,0.006535947712418301
632,0.0,Naive,1.0
633,0.025,Randomized,1.0
634,0.05,Randomized,1.0
635,0.1,Randomized,1.0
636,0.25,Randomized,1.0
637,0.5,Randomized,0.2191780821917808
638,1.0,Randomized,0.13071895424836602
639,5.0,Randomized,-0.03980099502487562
640,0.0,Naive,1.0
641,0.025,Randomized,1.0
642,0.05,Randomized,1.0
643,0.1,Randomized,1.0
644,0.25,Randomized,1.0
645,0.5,Randomized,0.0
646,1.0,Randomized,0.0
647,5.0,Randomized,0.0
648,0.0,Naive,1.0
649,0.025,Randomized,1.0
650,0.05,Randomized,1.0
651,0.1,Randomized,1.0
652,0.25,Randomized,1.0
653,0.5,Randomized,0.0
654,1.0,Randomized,0.0
655,5.0,Randomized,0.0
656,0.0,Naive,1.0
657,0.025,Randomized,1.0
658,0.05,Randomized,1.0
659,0.1,Randomized,1.0
660,0.25,Randomized,0.0
661,0.5,Randomized,0.06489994591671173
662,1.0,Randomized,0.0
663,5.0,Randomized,0.0
664,0.0,Naive,1.0
665,0.025,Randomized,1.0
666,0.05,Randomized,1.0
667,0.1,Randomized,1.0
668,0.25,Randomized,1.0
669,0.5,Randomized,0.0
670,1.0,Randomized,0.06489994591671173
671,5.0,Randomized,-0.004405286343612335
672,0.0,Naive,1.0
673,0.025,Randomized,1.0
674,0.05,Randomized,1.0
675,0.1,Randomized,1.0
676,0.25,Randomized,1.0
677,0.5,Randomized,0.0
678,1.0,Randomized,0.0
679,5.0,Randomized,0.006535947712418301
680,0.0,Naive,1.0
681,0.025,Randomized,1.0
682,0.05,Randomized,1.0
683,0.1,Randomized,0.0
684,0.25,Randomized,0.0
685,0.5,Randomized,0.0
686,1.0,Randomized,0.0
687,5.0,Randomized,-0.04441976679622432
688,0.0,Naive,1.0
689,0.025,Randomized,1.0
690,0.05,Randomized,1.0
691,0.1,Randomized,1.0
692,0.25,Randomized,1.0
693,0.5,Randomized,0.02145922746781116
694,1.0,Randomized,0.0
695,5.0,Randomized,-0.019313304721030045
696,0.0,Naive,1.0
697,0.025,Randomized,1.0
698,0.05,Randomized,1.0
699,0.1,Randomized,1.0
700,0.25,Randomized,1.0
701,0.5,Randomized,0.7995558023320377
702,1.0,Randomized,0.02145922746781116
703,5.0,Randomized,0.04422332780541736
704,0.0,Naive,1.0
705,0.025,Randomized,1.0
