,Tau,Method,WCSS/TSS
602,0.05,Randomized,0.09271064831213884
603,0.1,Randomized,0.09271064831213884
604,0.25,Randomized,0.9837111131544635
605,0.5,Randomized,0.9044050824984047
606,1.0,Randomized,0.9047366353613225
607,5.0,Randomized,0.8792674068639232
608,0.0,Naive,0.17428455393306447
609,0.025,Randomized,0.17428455393306447
610,0.05,Randomized,0.17428455393306447
611,0.1,Randomized,0.17428455393306447
612,0.25,Randomized,0.27550591436673966
613,0.5,Randomized,0.9569685291541083
614,1.0,Randomized,0.9769228111750542
615,5.0,Randomized,0.9739232080030478
616,0.0,Naive,0.18257683243587686
617,0.025,Randomized,0.18257683243587686
618,0.05,Randomized,0.18257683243587686
619,0.1,Randomized,0.18257683243587686
620,0.25,Randomized,0.18257683243587686
621,0.5,Randomized,0.895846151408307
622,1.0,Randomized,0.895846151408307
623,5.0,Randomized,0.832571820663388
624,0.0,Naive,0.16022258126316746
625,0.025,Randomized,0.16022258126316746
626,0.05,Randomized,0.16022258126316746
627,0.1,Randomized,0.16022258126316746
628,0.25,Randomized,0.16022258126316746
629,0.5,Randomized,0.6485180966810864
630,1.0,Randomized,0.9022490346606638
631,5.0,Randomized,0.9515862447316712
632,0.0,Naive,0.17024491354851698
633,0.025,Randomized,0.17024491354851698
634,0.05,Randomized,0.17024491354851698
635,0.1,Randomized,0.17024491354851698
636,0.25,Randomized,0.17024491354851698
637,0.5,Randomized,0.7289352014815123
638,1.0,Randomized,0.7440548490922002
639,5.0,Randomized,0.9911491786672542
640,0.0,Naive,0.1532030626267502
641,0.025,Randomized,0.1532030626267502
642,0.05,Randomized,0.1532030626267502
643,0.1,Randomized,0.1532030626267502
644,0.25,Randomized,0.1532030626267502
645,0.5,Randomized,0.8384574067748515
646,1.0,Randomized,0.8384574067748515
647,5.0,Randomized,0.8895464124029594
648,0.0,Naive,0.1933117104327394
649,0.025,Randomized,0.1933117104327394
650,0.05,Randomized,0.1933117104327394
651,0.1,Randomized,0.1933117104327394
652,0.25,Randomized,0.1933117104327394
653,0.5,Randomized,0.991741084299767
654,1.0,Randomized,0.991741084299767
655,5.0,Randomized,0.991741084299767
656,0.0,Naive,0.1813981606252025
657,0.025,Randomized,0.1813981606252025
658,0.05,Randomized,0.1813981606252025
659,0.1,Randomized,0.1813981606252025
660,0.25,Randomized,0.9162500080534807
661,0.5,Randomized,0.9517577192002005
662,1.0,Randomized,0.9162500080534807
663,5.0,Randomized,0.9162500080534807
664,0.0,Naive,0.1959664886166971
665,0.025,Randomized,0.1959664886166971
