tau,delta,effect_size,reject
0.01,18.125,1.9326470612764388,1
0.01,18.125,1.8912567588150349,1
0.01,20.0,1.9261421684754017,1
0.01,20.0,1.866745976525741,1
0.01,20.0,1.8895006163092145,1
0.01,20.0,1.9936116578813132,1
0.01,20.0,2.0140825397521143,1
0.01,20.0,1.9358899943658008,1
0.01,20.0,1.8852625115131232,1
0.01,20.0,2.053366864447705,1
0.01,20.0,1.9643932756536246,1
0.01,20.0,1.9743417292302718,1
0.01,20.0,1.9591016854128507,1
0.01,20.0,1.9188398843568635,1
0.01,20.0,1.9684519239369094,1
0.01,20.0,1.9525853714604258,1
0.01,20.0,1.9661522764367552,1
0.01,20.0,1.9140128295444458,1
0.01,20.0,1.975091238197563,1
0.01,20.0,1.974274127490662,1
0.01,20.0,1.888536492500277,1
0.01,20.0,1.9557641574487794,1
0.01,20.0,1.9099808515672423,1
0.01,20.0,1.9185742478206862,1
0.01,20.0,1.9209985470054982,1
0.01,20.0,1.8948614522749712,1
0.01,20.0,1.9007417434128182,1
0.01,20.0,1.9176598300059144,1
0.01,20.0,1.9094980456531925,1
0.01,20.0,1.9031004299488234,1
0.01,20.0,1.9657813417395595,1
0.01,20.0,1.9547636909496147,1
0.05,5.0,1.352459622812473,0
0.05,5.0,1.1196057328877407,0
0.05,5.0,1.1391094553807248,0
0.05,5.0,1.7184357889350752,1
0.05,5.0,1.8562147761649006,0
0.05,5.0,1.5885499432248005,1
0.05,5.0,2.029088927482379,1
0.05,5.0,1.8554530281926254,1
0.05,5.0,1.7455022926945358,1
0.05,5.0,1.5702418278022292,1
0.05,5.0,1.7184275126680946,1
0.05,5.0,1.8426305329590524,1
0.05,5.0,1.5198503656017235,1
0.05,5.0,1.466419519329449,0
0.05,5.0,1.6457130005625122,0
0.05,5.0,1.751098845123986,1
0.05,5.0,1.6812464845268833,1
0.05,5.0,1.7641715925580455,1
0.05,5.0,1.5933768959469126,1
0.05,5.0,1.6815607017044074,1
0.05,5.0,1.7134195761772308,1
0.05,5.0,1.8131538725577256,1
0.05,5.0,1.8574602123890578,1
0.05,5.0,1.6966156210469772,1
