,delta,Tau,Method,Recovery
620,2,0.0,Naive,0
621,2,0.1,Randomized,0
622,2,0.0,Naive,0
623,2,0.1,Randomized,0
624,2,0.0,Naive,0
625,2,0.1,Randomized,0
626,2,0.0,Naive,0
627,2,0.1,Randomized,0
628,2,0.0,Naive,0
629,2,0.1,Randomized,0
630,2,0.0,Naive,0
631,2,0.1,Randomized,0
632,2,0.0,Naive,0
633,2,0.1,Randomized,0
634,2,0.0,Naive,0
635,2,0.1,Randomized,0
636,2,0.0,Naive,0
637,2,0.1,Randomized,0
638,2,0.0,Naive,0
639,2,0.1,Randomized,0
640,2,0.0,Naive,0
641,2,0.1,Randomized,0
642,2,0.0,Naive,0
643,2,0.1,Randomized,0
644,2,0.0,Naive,0
645,2,0.1,Randomized,0
646,2,0.0,Naive,0
647,2,0.1,Randomized,0
648,2,0.0,Naive,0
649,2,0.1,Randomized,0
650,2,0.0,Naive,0
651,2,0.1,Randomized,0
652,2,0.0,Naive,0
653,2,0.1,Randomized,0
654,2,0.0,Naive,0
655,2,0.1,Randomized,0
656,2,0.0,Naive,0
657,2,0.1,Randomized,0
658,2,0.0,Naive,0
659,2,0.1,Randomized,0
660,2,0.0,Naive,0
661,2,0.1,Randomized,0
662,2,0.0,Naive,0
663,2,0.1,Randomized,0
664,2,0.0,Naive,0
665,2,0.1,Randomized,0
666,2,0.0,Naive,0
667,2,0.1,Randomized,0
668,2,0.0,Naive,0
669,2,0.1,Randomized,0
670,2,0.0,Naive,0
671,2,0.1,Randomized,0
672,2,0.0,Naive,0
673,2,0.1,Randomized,0
674,2,0.0,Naive,0
675,2,0.1,Randomized,0
676,2,0.0,Naive,0
677,2,0.1,Randomized,0
678,2,0.0,Naive,0
679,2,0.1,Randomized,0
680,2,0.0,Naive,0
681,2,0.1,Randomized,0
682,2,0.0,Naive,0
683,2,0.1,Randomized,0
684,2,0.0,Naive,0
685,2,0.1,Randomized,0
686,2,0.0,Naive,0
687,2,0.1,Randomized,0
688,2,0.0,Naive,0
689,2,0.1,Randomized,0
690,2,0.0,Naive,0
691,2,0.1,Randomized,0
692,2,0.0,Naive,0
693,2,0.1,Randomized,0
694,2,0.0,Naive,0
695,2,0.1,Randomized,0
696,2,0.0,Naive,0
697,2,0.1,Randomized,0
698,2,0.0,Naive,0
699,2,0.1,Randomized,0
700,2,0.0,Naive,0
701,2,0.1,Randomized,0
702,2,0.0,Naive,0
703,2,0.1,Randomized,0
704,2,0.0,Naive,0
705,2,0.1,Randomized,0
706,2,0.0,Naive,0
707,2,0.1,Randomized,0
708,2,0.0,Naive,0
709,2,0.1,Randomized,0
710,2,0.0,Naive,0
711,2,0.1,Randomized,0
712,2,0.0,Naive,0
713,2,0.1,Randomized,0
714,2,0.0,Naive,0
715,2,0.1,Randomized,0
716,2,0.0,Naive,0
717,2,0.1,Randomized,0
718,2,0.0,Naive,0
719,2,0.1,Randomized,0
720,2,0.0,Naive,0
721,2,0.1,Randomized,0
722,2,0.0,Naive,0
723,2,0.1,Randomized,0
