,delta,Tau,Method,WCSS/TSS
467,2,0.1,Randomized,0.606430269682278
468,2,0.0,Naive,0.8252681072847429
469,2,0.1,Randomized,0.9282561329060456
470,2,0.0,Naive,0.8218139030433516
471,2,0.1,Randomized,0.8218139030433516
472,2,0.0,Naive,0.7594746249698052
473,2,0.1,Randomized,0.6859903479889886
474,2,0.0,Naive,0.6604538005219464
475,2,0.1,Randomized,0.6604538005219464
476,2,0.0,Naive,0.8057344349042558
477,2,0.1,Randomized,0.7549744281238423
478,2,0.0,Naive,0.7107590338028417
479,2,0.1,Randomized,0.7107590338028417
480,2,0.0,Naive,0.8165369971896979
481,2,0.1,Randomized,0.8165369971896979
482,2,0.0,Naive,0.8583229989942306
483,2,0.1,Randomized,0.6052480872052489
484,2,0.0,Naive,0.8330023308027876
485,2,0.1,Randomized,0.8330023308027876
486,2,0.0,Naive,0.5385666327351835
487,2,0.1,Randomized,0.840165899243259
488,2,0.0,Naive,0.5423115645259999
489,2,0.1,Randomized,0.5423115645259999
490,2,0.0,Naive,0.8311812776666485
491,2,0.1,Randomized,0.7963827577970214
492,2,0.0,Naive,0.8595316815643348
493,2,0.1,Randomized,0.8790806383240054
494,2,0.0,Naive,0.8440283679850409
495,2,0.1,Randomized,0.8470526491633517
496,2,0.0,Naive,0.5132335530881851
497,2,0.1,Randomized,0.5132335530881851
498,2,0.0,Naive,0.7883628487322824
499,2,0.1,Randomized,0.7883628487322824
500,2,0.0,Naive,0.8213278895356092
501,2,0.1,Randomized,0.8213278895356092
502,2,0.0,Naive,0.8208889796061708
503,2,0.1,Randomized,0.9313809025929753
504,2,0.0,Naive,0.8287841173595342
505,2,0.1,Randomized,0.8287841173595342
506,2,0.0,Naive,0.7405801383926262
507,2,0.1,Randomized,0.7405801383926262
508,2,0.0,Naive,0.6401455784540786
509,2,0.1,Randomized,0.6401455784540786
510,2,0.0,Naive,0.604567819429914
511,2,0.1,Randomized,0.7358029924905539
512,2,0.0,Naive,0.3838430214037166
513,2,0.1,Randomized,0.3838430214037166
514,2,0.0,Naive,0.8298186205888465
515,2,0.1,Randomized,0.8298186205888465
516,2,0.0,Naive,0.8792567027072642
517,2,0.1,Randomized,0.8792567027072642
518,2,0.0,Naive,0.8382384491576378
519,2,0.1,Randomized,0.6902421086861494
520,2,0.0,Naive,0.8023450418370958
521,2,0.1,Randomized,0.6197774715615181
522,2,0.0,Naive,0.8577619627482466
523,2,0.1,Randomized,0.8577619627482466
524,2,0.0,Naive,0.6914642980878853
525,2,0.1,Randomized,0.6914642980878853
526,2,0.0,Naive,0.8765842255529148
527,2,0.1,Randomized,0.8765842255529148
528,2,0.0,Naive,0.4549824207151672
529,2,0.1,Randomized,0.4549824207151672
530,2,0.0,Naive,0.6632524093474399
531,2,0.1,Randomized,0.6632524093474399
532,2,0.0,Naive,0.9090420815456879
533,2,0.1,Randomized,0.6246126465495951
534,2,0.0,Naive,0.8081657034406732
535,2,0.1,Randomized,0.5554611793751072
536,2,0.0,Naive,0.8401654551522202
537,2,0.1,Randomized,0.8401654551522202
538,2,0.0,Naive,0.8433065598307307
539,2,0.1,Randomized,0.718943752612306
540,2,0.0,Naive,0.8769571498095358
541,2,0.1,Randomized,0.43068264975084797
542,2,0.0,Naive,0.8149959434333338
543,2,0.1,Randomized,0.8149959434333338
544,2,0.0,Naive,0.8309243118746689
545,2,0.1,Randomized,0.8309243118746689
546,2,0.0,Naive,0.7044008825871981
547,2,0.1,Randomized,0.7044008825871981
548,2,0.0,Naive,0.839964656030886
549,2,0.1,Randomized,0.839964656030886
550,2,0.0,Naive,0.7115361234873755
551,2,0.1,Randomized,0.7115361234873755
552,2,0.0,Naive,0.8544776353083934
553,2,0.1,Randomized,0.8456041142277314
554,2,0.0,Naive,0.8701110588078381
555,2,0.1,Randomized,0.7418820124322443
556,2,0.0,Naive,0.832065698166678
557,2,0.1,Randomized,0.832065698166678
558,2,0.0,Naive,0.5625768673392824
559,2,0.1,Randomized,0.9534494780579822
560,2,0.0,Naive,0.6705153642779037
561,2,0.1,Randomized,0.7899945033735067
562,2,0.0,Naive,0.7129071904742729
563,2,0.1,Randomized,0.7129071904742729
564,2,0.0,Naive,0.8578618457201117
565,2,0.1,Randomized,0.8578618457201117
566,2,0.0,Naive,0.3882978765358602
567,2,0.1,Randomized,0.3882978765358602
568,2,0.0,Naive,0.5877980172645725
569,2,0.1,Randomized,0.916543522406092
570,2,0.0,Naive,0.9604213789578705
571,2,0.1,Randomized,0.9604213789578705
572,2,0.0,Naive,0.3600757619728848
573,2,0.1,Randomized,0.3600757619728848
574,2,0.0,Naive,0.878194000715319
575,2,0.1,Randomized,0.878194000715319
576,2,0.0,Naive,0.7132162263090296
577,2,0.1,Randomized,0.7132162263090296
578,2,0.0,Naive,0.48371317654358725
579,2,0.1,Randomized,0.9471801587679548
580,2,0.0,Naive,0.884880340288425
581,2,0.1,Randomized,0.6636346590902444
582,2,0.0,Naive,0.7595433121495854
583,2,0.1,Randomized,0.7595433121495854
584,2,0.0,Naive,0.7463701501376215
585,2,0.1,Randomized,0.7463701501376215
586,2,0.0,Naive,0.8774715384254436
587,2,0.1,Randomized,0.7886890719933708
588,2,0.0,Naive,0.7422704483124183
589,2,0.1,Randomized,0.7422704483124183
590,2,0.0,Naive,0.8213670293690137
591,2,0.1,Randomized,0.673580640878043
592,2,0.0,Naive,0.8535905252896301
593,2,0.1,Randomized,0.8535905252896301
594,2,0.0,Naive,0.7532767275274221
595,2,0.1,Randomized,0.8134932826663905
596,2,0.0,Naive,0.6059464641161666
597,2,0.1,Randomized,0.5880165003843493
598,2,0.0,Naive,0.8338428874039724
599,2,0.1,Randomized,0.835313102152945
600,2,0.0,Naive,0.8445893319317348
601,2,0.1,Randomized,0.8445893319317348
602,2,0.0,Naive,0.7219612884775041
603,2,0.1,Randomized,0.7880171273780109
604,2,0.0,Naive,0.7287905611167905
605,2,0.1,Randomized,0.8975294754438291
606,2,0.0,Naive,0.6879761473534515
607,2,0.1,Randomized,0.6879761473534515
608,2,0.0,Naive,0.425891836186967
609,2,0.1,Randomized,0.425891836186967
610,2,0.0,Naive,0.5092132448998348
611,2,0.1,Randomized,0.9097257013880639
612,2,0.0,Naive,0.8546968696585654
613,2,0.1,Randomized,0.8546968696585654
614,2,0.0,Naive,0.9130973682807791
615,2,0.1,Randomized,0.8256954669562607
616,2,0.0,Naive,0.9038320416938819
617,2,0.1,Randomized,0.8598304292201079
618,2,0.0,Naive,0.8369061676001356
619,2,0.1,Randomized,0.8369061676001356
620,2,0.0,Naive,0.8754130808389484
621,2,0.1,Randomized,0.8754130808389484
622,2,0.0,Naive,0.7077411533194818
623,2,0.1,Randomized,0.7077411533194818
624,2,0.0,Naive,0.7658397366726825
625,2,0.1,Randomized,0.7658397366726825
626,2,0.0,Naive,0.7889415170599164
627,2,0.1,Randomized,0.8004456446380488
628,2,0.0,Naive,0.7663233275053566
629,2,0.1,Randomized,0.7663233275053566
630,2,0.0,Naive,0.873927214089207
631,2,0.1,Randomized,0.7626519156546193
632,2,0.0,Naive,0.7644498868978388
633,2,0.1,Randomized,0.7644498868978388
634,2,0.0,Naive,0.7253077519824923
635,2,0.1,Randomized,0.9379965357167659
636,2,0.0,Naive,0.8109531915091754
637,2,0.1,Randomized,0.8109531915091754
638,2,0.0,Naive,0.8495493901044483
639,2,0.1,Randomized,0.8495493901044483
640,2,0.0,Naive,0.8492867584387369
641,2,0.1,Randomized,0.8492867584387369
642,2,0.0,Naive,0.7539770376855466
643,2,0.1,Randomized,0.7539770376855466
644,2,0.0,Naive,0.7834611779233039
645,2,0.1,Randomized,0.7834611779233039
646,2,0.0,Naive,0.9066501503758133
647,2,0.1,Randomized,0.9364352822224958
648,2,0.0,Naive,0.8408255237524818
649,2,0.1,Randomized,0.6909064565837605
